iter	BalancedAccuracy	Logloss
0	0.7399397907	0.690917674
1	0.7433821076	0.6888539105
2	0.743173942	0.6868393481
3	0.7407493495	0.6848175694
4	0.7432843257	0.6827534382
5	0.7427371909	0.6807895643
6	0.7429593587	0.6788309061
7	0.7432969277	0.6768436104
8	0.7430223685	0.6748503881
9	0.7470264058	0.6729432532
10	0.7485409739	0.6709758541
11	0.7472082006	0.6691102634
12	0.7475975776	0.667183875
13	0.747598161	0.6652217504
14	0.7478088937	0.6634279834
15	0.7480594159	0.6616299091
16	0.7485667612	0.6597964512
17	0.7473109999	0.6580002105
18	0.7469986348	0.6562959115
19	0.7467297931	0.654565095
20	0.746098762	0.6528621066
21	0.7456040186	0.6511657871
22	0.7462041283	0.6495518611
23	0.7461239659	0.6478017537
24	0.7456999335	0.6461521928
25	0.7458608418	0.6445703256
26	0.7458671427	0.6429986328
27	0.745273334	0.6414178786
28	0.7458671427	0.6398458025
29	0.7459321361	0.6382474717
30	0.7453938694	0.6367087007
31	0.7453257255	0.6351799634
32	0.7470023687	0.6336085192
33	0.7470579106	0.6321353141
34	0.746395958	0.6306680038
35	0.7472402889	0.6292110849
36	0.7474845101	0.6277631072
37	0.7477350323	0.6263641114
38	0.7474908111	0.6249153089
39	0.7472989813	0.6235051338
40	0.7470390077	0.6221468219
41	0.7471752955	0.6207777013
42	0.7474598896	0.6193728795
43	0.7472617589	0.6180426201
44	0.7473545233	0.6167467654
45	0.7472617589	0.6154328954
46	0.7472308374	0.6141929621
47	0.7468844004	0.612904572
48	0.7469153219	0.6116202916
49	0.7469184724	0.610358317
50	0.7471071516	0.6091287923
51	0.7471380731	0.6078892222
52	0.7470453087	0.6066897692
53	0.7471689945	0.6055185024
54	0.7472339879	0.6043229026
55	0.7470453087	0.6031848588
56	0.7470762301	0.602095757
57	0.7472030665	0.6007925683
58	0.7472030665	0.5995103852
59	0.7471103021	0.5982466999
60	0.7470793806	0.5969784388
61	0.7473299028	0.5957419017
62	0.7476857913	0.5944884552
63	0.747877621	0.5932949577
64	0.7480353788	0.5921237848
65	0.7476270989	0.5909888218
66	0.7483603459	0.5898467601
67	0.7484221888	0.5886982434
68	0.7491491348	0.5875942292
69	0.7505071119	0.5864693015
70	0.7503991785	0.5853885649
71	0.7503436366	0.5842652844
72	0.7503436366	0.5832160744
73	0.7509065238	0.5821723275
74	0.7506560017	0.5811300828
75	0.7509992882	0.5801111621
76	0.7508756024	0.5791135714
77	0.7506528512	0.5781113596
78	0.7510611311	0.5771393687
79	0.7527037024	0.5761571944
80	0.7532388187	0.5751811803
81	0.752991447	0.5742178313
82	0.7532728906	0.5733658816
83	0.7531182833	0.5724381856
84	0.7534924913	0.571502917
