iter	Passed	Remaining
0	26	10458515
1	55	11089186
2	77	10392373
3	115	11555130
4	137	11004349
5	159	10614448
6	181	10383523
7	205	10299479
8	232	10311941
9	252	10115110
10	274	9990624
11	293	9766843
12	314	9686076
13	334	9543511
14	355	9476505
15	374	9363567
16	395	9304194
17	415	9223361
18	434	9139833
19	452	9058067
20	472	9007234
21	504	9174010
22	530	9218440
23	547	9131468
24	566	9058279
25	584	8988726
26	603	8941235
27	621	8874597
28	645	8897467
29	664	8865321
30	692	8929800
31	708	8858703
32	734	8900028
33	756	8893496
34	775	8863686
35	797	8858583
36	818	8847524
37	840	8848458
38	866	8881903
39	884	8846960
40	908	8865383
41	935	8911813
42	966	8993660
43	1001	9100819
44	1033	9187320
45	1066	9276035
46	1088	9259831
47	1106	9220676
48	1129	9217150
49	1146	9173307
50	1164	9133652
51	1184	9111632
52	1202	9075493
53	1219	9032792
54	1242	9035275
55	1264	9032641
56	1294	9083489
57	1314	9066816
58	1335	9050109
59	1355	9035658
60	1373	9003934
61	1396	9009700
62	1419	9012049
63	1447	9043979
64	1480	9111997
65	1501	9098651
66	1521	9084893
67	1547	9099751
68	1571	9108530
69	1592	9097566
70	1611	9078000
71	1632	9067724
72	1655	9071808
73	1685	9107784
74	1705	9094297
75	1727	9088006
76	1743	9057084
77	1761	9029777
78	1779	9009087
79	1799	8997758
80	1820	8988399
81	1838	8964680
82	1855	8937941
83	1875	8927313
84	1894	8911172
85	1913	8898200
86	1939	8917306
87	1960	8907748
88	1979	8892620
89	1999	8884286
90	2028	8912914
91	2054	8928585
92	2080	8944758
93	2117	9009664
94	2152	9059698
95	2187	9114365
96	2219	9150693
97	2250	9183399
98	2270	9171939
99	2292	9167889
100	2309	9143900
101	2336	9159098
102	2358	9155319
103	2379	9149977
104	2405	9161151
105	2434	9183546
106	2458	9187638
107	2479	9181802
108	2508	9203941
109	2553	9282336
110	2574	9273546
111	2610	9319359
112	2633	9317968
113	2663	9342768
114	2680	9321181
115	2699	9305861
116	2719	9295404
117	2746	9307834
118	2767	9301078
119	2787	9288584
120	2805	9273027
121	2825	9262426
122	2846	9254989
123	2871	9260655
124	2891	9250388
125	2911	9240982
126	2938	9250977
127	2957	9240419
128	2980	9238766
129	2997	9219351
130	3019	9216459
131	3038	9204707
132	3060	9202236
133	3077	9182302
134	3099	9179961
135	3119	9171605
136	3136	9154578
137	3153	9138302
138	3179	9145461
139	3195	9125391
140	3212	9111572
141	3228	9091820
142	3248	9084500
143	3271	9085263
144	3291	9076297
145	3310	9065905
146	3328	9054340
147	3349	9048253
148	3369	9042482
149	3388	9032350
150	3405	9017697
151	3422	9004208
152	3440	8991045
153	3460	8984377
154	3482	8984670
155	3513	9005608
156	3533	8998526
157	3554	8995749
